"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 23:37:07 WIB 2024","Tue Feb 27 23:37:07 WIB 2024","220","","Swag Labs website: As a user, I can log into the Swag Labs website successfully","","","","When I login with ""standard_user"" credential",""
"passed","Tue Feb 27 23:37:35 WIB 2024","Tue Feb 27 23:37:36 WIB 2024","735","","Swag Labs website: As a user, I should get error message","","","","Given I am on the Login page",""
"passed","Tue Feb 27 23:37:07 WIB 2024","Tue Feb 27 23:37:07 WIB 2024","0","","Swag Labs website: As a user, I can log into the Swag Labs website successfully","","","","",""
"passed","Tue Feb 27 23:37:07 WIB 2024","Tue Feb 27 23:37:07 WIB 2024","4","","Swag Labs website: As a user, I can log into the Swag Labs website successfully","","","","Then I should see the Home page",""
"passed","Tue Feb 27 23:37:36 WIB 2024","Tue Feb 27 23:37:36 WIB 2024","29","","Swag Labs website: As a user, I should get error message","","","","Then I should see error of ""Epic sadface: Sorry, this user has been locked out.""",""
"passed","Tue Feb 27 23:37:36 WIB 2024","Tue Feb 27 23:37:36 WIB 2024","0","","Swag Labs website: As a user, I should get error message","","","","",""
"passed","Tue Feb 27 23:37:36 WIB 2024","Tue Feb 27 23:37:36 WIB 2024","209","","Swag Labs website: As a user, I should get error message","","","","When I login with ""locked_out_user"" credential",""
"passed","Tue Feb 27 23:37:06 WIB 2024","Tue Feb 27 23:37:07 WIB 2024","638","","Swag Labs website: As a user, I can log into the Swag Labs website successfully","","","","Given I am on the Login page",""
